,file_name,start,duration,Speaker_id,end,title
0,ES2002a.Mix-Headset,50.163,1.035,FEE005,51.19799999999999,ES2002a
1,ES2002a.Mix-Headset,53.487,0.782,FEE005,54.269000000000005,ES2002a
2,ES2002a.Mix-Headset,55.415,22.041,FEE005,77.456,ES2002a
3,ES2002a.Mix-Headset,66.942,0.813,MEE008,67.755,ES2002a
4,ES2002a.Mix-Headset,74.71,0.703,MEE008,75.413,ES2002a
5,ES2002a.Mix-Headset,77.408,3.547,MEE006,80.955,ES2002a
6,ES2002a.Mix-Headset,80.736,0.56,FEE005,81.296,ES2002a
7,ES2002a.Mix-Headset,81.575,3.001,MEE008,84.57600000000001,ES2002a
8,ES2002a.Mix-Headset,85.509,3.473,MEE007,88.982,ES2002a
9,ES2002a.Mix-Headset,86.048,0.864,MEE008,86.912,ES2002a
10,ES2002a.Mix-Headset,89.28,13.003,FEE005,102.283,ES2002a
11,ES2002a.Mix-Headset,104.864,1.776,FEE005,106.64,ES2002a
12,ES2002a.Mix-Headset,108.672,23.898,FEE005,132.57,ES2002a
13,ES2002a.Mix-Headset,132.38,9.676,MEE006,142.05599999999998,ES2002a
14,ES2002a.Mix-Headset,135.056,0.416,FEE005,135.472,ES2002a
15,ES2002a.Mix-Headset,136.827,0.821,MEE008,137.648,ES2002a
16,ES2002a.Mix-Headset,138.631,2.142,MEE008,140.773,ES2002a
17,ES2002a.Mix-Headset,139.896,27.497,FEE005,167.39299999999997,ES2002a
18,ES2002a.Mix-Headset,140.216,0.851,MEE007,141.067,ES2002a
19,ES2002a.Mix-Headset,141.776,0.288,MEE008,142.06400000000002,ES2002a
20,ES2002a.Mix-Headset,166.485,1.883,MEE008,168.36800000000002,ES2002a
21,ES2002a.Mix-Headset,167.824,1.248,FEE005,169.072,ES2002a
22,ES2002a.Mix-Headset,173.936,2.88,MEE008,176.816,ES2002a
23,ES2002a.Mix-Headset,177.952,2.112,MEE008,180.064,ES2002a
24,ES2002a.Mix-Headset,181.36,1.216,MEE008,182.57600000000002,ES2002a
25,ES2002a.Mix-Headset,182.994,1.519,FEE005,184.513,ES2002a
26,ES2002a.Mix-Headset,183.728,4.656,MEE008,188.38400000000001,ES2002a
27,ES2002a.Mix-Headset,189.968,2.053,MEE008,192.021,ES2002a
28,ES2002a.Mix-Headset,192.021,2.59,MEE008,194.611,ES2002a
29,ES2002a.Mix-Headset,198.421,0.703,MEE008,199.124,ES2002a
30,ES2002a.Mix-Headset,203.23,1.074,MEE008,204.304,ES2002a
31,ES2002a.Mix-Headset,205.28,1.392,FEE005,206.672,ES2002a
32,ES2002a.Mix-Headset,211.712,30.752,MEE008,242.464,ES2002a
33,ES2002a.Mix-Headset,215.784,1.184,FEE005,216.968,ES2002a
34,ES2002a.Mix-Headset,237.359,1.886,MEE006,239.245,ES2002a
35,ES2002a.Mix-Headset,243.376,2.368,FEE005,245.744,ES2002a
36,ES2002a.Mix-Headset,244.064,1.148,MEE008,245.212,ES2002a
37,ES2002a.Mix-Headset,245.366,0.554,MEE007,245.92000000000002,ES2002a
38,ES2002a.Mix-Headset,254.613,3.067,MEE007,257.68,ES2002a
39,ES2002a.Mix-Headset,265.152,2.769,FEE005,267.921,ES2002a
40,ES2002a.Mix-Headset,265.659,1.776,MEE006,267.435,ES2002a
41,ES2002a.Mix-Headset,265.988,1.729,MEE007,267.717,ES2002a
42,ES2002a.Mix-Headset,267.717,6.331,MEE007,274.048,ES2002a
43,ES2002a.Mix-Headset,273.968,1.024,MEE008,274.992,ES2002a
44,ES2002a.Mix-Headset,275.561,3.325,MEE007,278.88599999999997,ES2002a
45,ES2002a.Mix-Headset,275.648,0.592,FEE005,276.24,ES2002a
46,ES2002a.Mix-Headset,275.672,0.555,MEE006,276.22700000000003,ES2002a
47,ES2002a.Mix-Headset,279.963,3.037,MEE007,283.0,ES2002a
48,ES2002a.Mix-Headset,280.439,2.257,MEE006,282.696,ES2002a
49,ES2002a.Mix-Headset,285.936,7.472,FEE005,293.40799999999996,ES2002a
50,ES2002a.Mix-Headset,290.031,1.369,MEE006,291.40000000000003,ES2002a
51,ES2002a.Mix-Headset,290.429,1.846,MEE007,292.275,ES2002a
52,ES2002a.Mix-Headset,293.138,1.518,MEE006,294.65599999999995,ES2002a
53,ES2002a.Mix-Headset,295.68,5.568,MEE008,301.248,ES2002a
54,ES2002a.Mix-Headset,297.92,2.738,FEE005,300.658,ES2002a
55,ES2002a.Mix-Headset,300.234,1.373,MEE007,301.60699999999997,ES2002a
56,ES2002a.Mix-Headset,300.658,3.217,FEE005,303.875,ES2002a
57,ES2002a.Mix-Headset,306.976,0.96,MEE008,307.936,ES2002a
58,ES2002a.Mix-Headset,307.824,1.296,FEE005,309.12,ES2002a
59,ES2002a.Mix-Headset,308.532,0.88,MEE007,309.412,ES2002a
60,ES2002a.Mix-Headset,309.36,1.668,MEE006,311.028,ES2002a
61,ES2002a.Mix-Headset,310.325,0.777,MEE007,311.102,ES2002a
62,ES2002a.Mix-Headset,311.952,3.648,FEE005,315.6,ES2002a
63,ES2002a.Mix-Headset,311.996,0.954,MEE006,312.95,ES2002a
64,ES2002a.Mix-Headset,312.95,0.629,MEE006,313.579,ES2002a
65,ES2002a.Mix-Headset,318.564,13.113,MEE006,331.677,ES2002a
66,ES2002a.Mix-Headset,327.744,0.899,FEE005,328.64300000000003,ES2002a
67,ES2002a.Mix-Headset,331.677,6.359,MEE006,338.036,ES2002a
68,ES2002a.Mix-Headset,335.593,1.995,MEE007,337.588,ES2002a
69,ES2002a.Mix-Headset,335.613,2.374,MEE008,337.987,ES2002a
70,ES2002a.Mix-Headset,337.987,1.173,MEE008,339.16,ES2002a
71,ES2002a.Mix-Headset,338.036,3.699,MEE006,341.735,ES2002a
72,ES2002a.Mix-Headset,341.808,0.448,MEE008,342.256,ES2002a
73,ES2002a.Mix-Headset,342.4,4.48,FEE005,346.88,ES2002a
74,ES2002a.Mix-Headset,349.632,1.264,MEE008,350.896,ES2002a
75,ES2002a.Mix-Headset,351.686,3.699,MEE006,355.385,ES2002a
76,ES2002a.Mix-Headset,354.256,10.704,FEE005,364.96,ES2002a
77,ES2002a.Mix-Headset,354.929,0.786,MEE008,355.715,ES2002a
78,ES2002a.Mix-Headset,359.6,0.4,MEE008,360.0,ES2002a
79,ES2002a.Mix-Headset,366.992,1.68,FEE005,368.672,ES2002a
80,ES2002a.Mix-Headset,372.922,1.83,FEE005,374.752,ES2002a
81,ES2002a.Mix-Headset,375.609,0.903,FEE005,376.512,ES2002a
82,ES2002a.Mix-Headset,378.432,1.744,MEE008,380.17600000000004,ES2002a
83,ES2002a.Mix-Headset,379.357,1.476,MEE007,380.833,ES2002a
84,ES2002a.Mix-Headset,379.504,1.504,FEE005,381.00800000000004,ES2002a
85,ES2002a.Mix-Headset,380.621,0.555,MEE008,381.176,ES2002a
86,ES2002a.Mix-Headset,382.8,0.912,MEE008,383.712,ES2002a
